Gene_ID	6_am	10_am	2_pm	6_pm	10_pm	2_am	6_am2	10_am2	2_pm2	6_pm2	10_pm2	2_am2	6_am3	10_am3	2_pm3	6_pm3	10_pm3	2_am3	6_am4	10_am4	2_pm4	6_pm4	10_pm4	2_am4	6_am5
Gene1	273.8626	385.332	459.648	38.2824	7.7985	21.0082	68.0394	245.5106	136.7448	35.4276	7.1045	42.9829	62.0664	189.103	181.04	27.1975	4.8576	9.9456	34.0106	198.9273	199.1976	12.2964	0.7312	3.7124	8.784
Gene2	160.809	110.188	257.8338	273.1302	205.3605	194.5542	273.1885	137.0642	140.3592	209.8404	138.2645	297.3952	238.3914	91.5735	104.098	106.6142	70.4352	113.1312	100.7237	47.2974	39.2784	39.9633	7.312	6.4967	4.941
Gene3	253.396	187.124	187.4502	145.0314	114.8979	137.9234	160.8204	156.6448	77.7096	102.6492	73.231	210.2677	179.1462	144.433	75.8105	67.4498	64.3632	89.5104	103.3399	62.5995	61.7232	34.8398	10.968	26.9149	16.47
Gene4	432.7224	284.272	301.644	15.4602	14.5572	42.4731	130.9243	165.682	103.6128	23.6184	14.209	49.9531	107.2056	142.944	153.884	7.6153	17.0016	16.1616	34.0106	150.2388	154.308	12.2964	1.828	12.9934	18.666
Gene5	129.6218	62.592	86.9022	20.6136	100.3407	221.4995	190.7165	66.2728	66.264	49.0536	85.254	155.6678	157.9872	32.0135	32.8135	11.9669	44.9328	172.8048	192.2907	31.9953	31.7968	5.1235	4.7528	43.6207	20.313
Gene6	140.3424	56.724	119.9394	139.1418	51.99	60.7411	139.1715	92.6313	37.9512	143.5272	60.6615	98.7445	87.4572	51.3705	44.1285	55.4829	27.9312	39.7824	83.7184	30.6042	49.5656	27.6669	4.0216	6.4967	12.078
Gene7	2.9238	2.608	2.1546	538.1622	231.3555	59.371	1.0309	3.7655	0	143.5272	173.787	61.5701	2.8212	0	0	66.3619	298.7424	72.1056	0	1.3911	0	114.7664	38.7536	21.3463	0.549
Gene8	210.5136	90.628	79.7202	24.2946	74.8656	154.3646	172.1603	41.4205	22.8912	29.9772	54.65	173.0933	112.848	20.1015	23.7615	8.7032	34.0032	101.9424	104.648	26.4309	26.1856	3.0741	7.312	31.5554	18.117
Gene9	96.4854	39.12	62.4834	58.896	55.6293	111.8915	144.326	63.2604	34.3368	64.4964	49.185	289.2633	134.007	34.9915	35.0765	21.758	36.432	136.752	167.4368	23.6487	24.3152	9.2223	2.5592	28.7711	25.803
Gene10	133.5202	71.72	140.049	135.4608	30.1542	36.0793	108.2445	66.2728	65.0592	123.5424	30.604	65.0552	69.1194	43.181	54.312	66.3619	26.7168	34.8096	73.2536	44.5152	50.5008	44.0621	4.0216	2.7843	19.215
Gene11	3.8984	14.344	132.1488	368.8362	121.6566	10.5041	6.1854	5.2717	24.096	160.7868	73.231	23.234	2.8212	3.7225	44.1285	147.9544	156.6576	9.9456	5.2324	4.1733	47.6952	99.3959	20.108	7.4248	0.549
Gene12	9.746	5.216	10.773	51.534	229.2759	80.3792	12.3708	11.2965	27.7104	85.3896	134.439	81.319	12.6954	14.1455	12.4465	39.1644	168.8016	59.6736	17.0053	5.5644	13.0928	28.6916	8.7744	31.5554	6.039
Gene13	98.4346	62.592	117.0666	86.8716	40.5522	50.6937	85.5647	82.841	60.8424	89.0232	43.1735	81.319	67.7088	61.049	54.312	50.0434	30.36	32.3232	32.7025	33.3864	43.0192	22.5434	6.5808	7.4248	9.882
Gene14	154.9614	67.808	120.6576	156.0744	52.5099	47.0401	97.9355	53.4701	18.072	73.5804	38.255	74.3488	87.4572	34.9915	38.471	53.3071	27.9312	28.5936	69.3293	30.6042	47.6952	25.6175	4.7528	12.9934	14.823
Gene15	17.5428	22.82	40.9374	69.2028	151.2909	105.041	36.0815	15.8151	18.072	38.1528	122.9625	87.1275	28.212	2.978	26.0245	33.7249	228.3072	130.536	22.2377	19.4754	20.5744	10.247	23.764	48.2612	6.588
Gene16	60.4252	17.604	35.1918	37.5462	35.3532	33.7958	35.0506	13.5558	12.048	39.9696	58.4755	77.8339	28.212	23.0795	22.63	62.0103	52.2192	54.7008	26.162	33.3864	32.732	24.5928	1.4624	7.4248	16.47
Gene17	5.8476	7.172	16.5186	419.634	12.4776	3.1969	3.0927	3.0124	3.012	213.474	12.023	8.1319	7.053	1.489	9.052	164.2729	17.0016	4.9728	2.6162	0	7.4816	162.9273	4.3872	1.8562	1.098
Gene18	5.8476	2.608	5.7456	546.9966	78.5049	9.5907	6.1854	2.2593	0.6024	133.5348	54.1035	15.1021	5.6424	0.7445	1.1315	101.1747	102.0096	3.7296	5.2324	4.1733	2.8056	128.0875	28.8824	8.3529	0.549
Gene19	78.9426	114.1	168.0588	12.5154	3.6393	7.7639	21.6489	95.6437	69.276	29.0688	4.372	40.6595	15.5166	152.6225	130.1225	19.5822	6.072	14.9184	27.4701	175.2786	135.604	7.1729	0.7312	2.7843	10.431
Gene20	196.8692	53.464	12.9276	1.4724	19.7562	110.5214	131.9552	14.3089	3.012	2.7252	17.488	173.0933	126.954	17.1235	5.6575	1.0879	15.7872	84.5376	99.4156	18.0843	13.0928	2.0494	5.1184	55.686	31.842
Gene21	76.9934	21.516	2.1546	2.2086	73.3059	152.9945	61.854	2.2593	0	1.8168	46.999	394.978	56.424	6.7005	3.3945	0	64.3632	156.6432	81.1022	19.4754	0	0	10.6024	59.3984	14.274
Gene22	194.92	67.808	74.6928	17.6688	18.1965	59.8277	158.7586	24.0992	13.8552	9.084	15.302	123.1402	119.901	19.357	35.0765	7.6153	7.2864	21.1344	87.6427	27.822	37.408	8.1976	1.828	18.562	12.627
Gene23	76.0188	31.296	43.8102	44.9082	27.0348	44.7566	79.3793	52.717	24.6984	53.5956	42.627	70.8637	39.4968	25.313	24.893	25.0217	27.9312	55.944	58.8645	23.6487	13.0928	19.4693	2.1936	7.4248	7.686
